YSTZ,YSHZ,SJLTZ,SJLHZ,第四季度营收变化,第四季度利润变化,市盈率,市净率,股价变动,市净率百分位,市盈率百分位,label
7.944624735,-36.2204,46.65,-45.6263,0.513230879,17.48992552,23.44,3.284509622,1.153532054,0.360419397,0.393184797,0
10.95711824,6.6519,56.58,14.4104,0.296436678,2.192482703,33.70165746,1.308821253,0.055283941,0.15932914,0.565618449,0
48.34021589,51.4944,3.52,-29.7359,0.593172908,0.055935679,11.41558442,2.085955834,0.677785857,0.420069505,0.011294526,1
1.171484559,-14.9443,42.46,-31.5607,-0.063418954,0.27554987,27.60483871,4.107950338,0.557571321,0.557842734,0.185673117,0
-6.905919838,103768.1357,-11.25,1135.4776,-0.737313304,-0.878215424,18.81501583,3.775545898,0.191002045,0.417834395,0,0
-32.67882879,-32.4545,-291.18,5.5117,-0.383577103,8.505742012,-56.55686762,2.595245908,0.413775246,0.86742259,0,0
-16.18309239,13.9122,-73.29,-71.3984,-0.069418635,-1.451369772,200,2.995718109,-0.247255952,0.105576841,0.530012771,1
-8.365898588,-14.8968,0.34,-116.6865,-0.213459239,-1.341661015,19.79307242,0.794173905,0.196116505,0.184526272,0.537443111,1
-6.81999516,35.5225,-35.48,1984.4383,0.235739357,1.006378445,68.42105263,1.487123926,0.17962963,0.403508772,0.545112782,0
33.61248467,10.8745,12.22,-12.67,0.705511691,0.907557949,10.80392157,1.077706573,0.053441369,0.174055829,0.034482759,0
50.43508155,5.456,53.65,-2.5359,0.616011645,0.409604549,13.45357143,3.012981791,0.61446152,0.920510708,0.336902801,0
88.0008571,-30.4927,3838.69,-144.0966,0.793660923,-2.379779956,16.79886686,3.970979618,-0.391348974,0.321288637,0,0
16.19,21.3833,-4.71,12.5592,0.212141195,0.517782108,18.95833333,1.474435674,0.040056602,0.07635893,0.165660052,0
4.448982573,-30.9333,-18.72,-8.3856,0.029172697,-0.128428531,31.27532777,1.6924887,0.565810411,0.170185265,0.260663507,0
9.42501484,102.58,70.01,107.5439,0.060550292,0.786928521,3.85459607,0.958612591,-0.069939103,0.060593397,0,1
-4.972788082,-7.4408,0.24,-35.1194,0.046607556,-0.286014533,27.73813217,5.350030287,1.398926655,0.122012579,0.174004193,0
-32.5941134,-54.5808,-49.78,-125.6483,-0.898190236,-1.021960497,33.76018626,0.518523721,-0.089611872,0,0.676859504,0
12.88740251,27.1692,1.84,31.6718,0.228621836,0.230284894,18.43181818,1.540383808,0.346962986,0.192010894,0.180208806,0
-23.63368159,41.4337,-77.6,-572.1361,0.017897621,-3.040903868,46.53846154,1.327846,-0.271585827,0.186172616,0.573881609,0
6.046430797,46.9137,116.02,13760.6922,0.21266302,-1.14455282,26.4,2.283703894,-0.050871832,0.20223152,0.023245002,1
-80.18858776,879.2186,101.21,92.9174,-0.328584416,-1.00824061,168.8311688,4.907209152,-0.069918699,0.484931507,0.726575342,1
12.4042661,-7.8608,9.49,-56.1085,0.028574899,0.589702741,37.72727273,3.143161245,0.006699781,0.419528341,0.247827886,0
40.79148813,12.8022,-19.77,29.0083,0.165215692,2.162684663,46.78302533,1.038907848,-0.038186005,0.035633739,0.216959856,1
35.15088712,3.0163,39.28,-48.8417,0.39981832,0.021076683,13.44243133,1.756588156,0.23224764,0.237362637,0,0
7.234876884,18.6702,197.7,-156.3612,-0.064364501,1.74082272,33.5175681,1.364057715,1.588414634,0.21761884,0.342346271,0
42.07443692,26.3784,52.03,-27.4663,0.237537554,-0.274865764,34.86060606,1.835024562,-0.159085708,0,0,1
-14.7523612,27.7095,-48.87,-34.3799,0.02299541,-0.04140178,21.62468157,0.967221917,0.092394635,0.00845666,0.949260042,0
-8.650299723,-1.1294,36.34,-48.4012,-0.001352781,3.801217211,12.98076923,2.080029245,0.201780415,0.367039587,0.092082616,0
