YSTZ,YSHZ,SJLTZ,SJLHZ,第四季度营收变化,第四季度利润变化,市盈率,市净率,股价变动,市净率百分位,市盈率百分位,净现比,WEIGHTAVG_ROE,XSMLL,label
1.239425798,-4.3104,1.02,-3.3678,0.048753689,0.435274401,20.76923077,4.312706199,-0.017038982,0.441312579,0.152713504,2.810563805,19.78,20.57998404,0
20.36190727,3.1638,63.24,-65.9507,0.172976388,0.544498862,34.296875,5.090014341,-0.199364285,0.46179402,0.249584718,1.670830377,15.61,63.72944626,0
7.769048965,155.2834,-6.65,998.4148,0.165013887,0.464364705,71.09448819,20.70055932,-0.041211778,0.94038055,0.583509514,1.05422871,31.57,77.09110674,1
6.535973122,21.4282,1.73,-26.4891,0.008108097,0.008895735,4.495934959,0.793733788,0.012290795,0.084567606,0,2.98791441,18.57,14.41174199,1
4.21701136,-54.8039,12.64,-28.1241,0.047340026,0.458915407,19.16290115,3.815885393,0.450462446,0.418941274,0.330438379,1.480257776,21.03,8.184159394,0
-5.697128566,104.3755,186.02,23.374,0.07939921,2.232384661,13.13429168,2.573278464,0.610380718,0.164372132,0,1.587823804,21.94,30.84003659,1
-2.73725456,19.0693,-40.49,244.7657,-0.141970982,-0.71518399,13.05280528,2.181716863,-0.307788474,0.548906314,0.092860091,1.4587674,19.13,23.9760514,0
4.14167061,-0.6019,14.63,-18.7124,-0.018609608,0.415525822,26.47826087,4.460573874,0.025375827,0.258932325,0.101723413,1.274307254,17.72,79.6562175,1
-24.88726271,27.6891,317.01,-2.5885,-0.334382409,15.19101509,33.25531915,6.36207332,0.548444621,0.446211413,0.391955098,1.371256909,22.83,30.82584264,1
17.39014665,22.5043,21.59,38.8325,0.211202474,0.517659341,27.25396825,4.861471105,0.068219319,0,0,1.122012081,19.04,45.09843287,0
65.91916594,51.5736,61.99,-2.0065,1.033630123,0.222953663,40.72246696,10.12634753,2.431207579,0.889742183,0.383982447,1.28649711,27.23,24.61848902,0
1.832051975,-2.8364,24.79,-40.88,0.115990733,0.302009868,16.53225806,3.26989453,1.543123819,0.927543424,0.085359801,2.045266705,19.43,27.20642129,0
4.230421425,4.9217,-4.2,16.59,0.091008851,1.019052419,5.917283951,1.148849473,-0.419553393,0,0,2.180246914,20,0,1
18.31513582,-28.0678,-1.8,10.4607,-0.118828492,1.049485861,10.6441048,1.496060669,0.154032388,0,0,4.70125126,15.36,0,0
3.277110517,-3.4419,301.74,8.2851,0.125270157,1.767593472,16.81818182,2.478902129,1.262008734,0.517626322,0.077555817,0.992814869,15.45,16.06492078,1
30.24075383,47.5859,127.09,132.8263,0.573253276,2.895905515,55.89156627,13.17871089,0.655628831,1,0.787878788,1.004090825,29,42.48204825,1
7.099432641,2.6584,33.13,-11.4356,0.103350801,0.371053426,27.89010989,4.223800546,1.44049636,0.864303178,0.776283619,1.716790844,17.69,27.90569383,1
20.74651265,16.8284,137.21,32.0322,0.520203883,5.495981908,25.64912281,6.283666669,1.084645797,0.613168724,0,1.018522798,27.94,33.91605974,0
-3.048006882,12.3042,31.81,-45.992,-0.092519829,0.124686621,14.32323232,2.135215909,0.01724837,0,0,3.213471175,15.27,15.67419093,1
12.04608062,19.5608,13.93,0.4498,0.256423025,-0.027531122,18.66666667,3.045745524,-0.0152472,0.065312046,0.013062409,1.15641012,17.47,63.20567813,1
67.06444499,-7.3952,319.81,-106.0595,0.38018325,-2.248825982,17.47863248,2.683361957,-0.532662988,0.167953668,0,1.663588182,17.13,54.60295142,1
39.58334426,1.057,101.54,-44.3127,0.622134919,0.715662698,51.51079137,12.8673193,2.997128958,0.837209302,0.837209302,2.071505741,28.89,29.31894827,1
24.20171856,30.2714,20.68,65.2667,0.387459624,0.303518279,24.15064103,4.261489031,0.229620938,0.259968102,0.405103668,2.089227464,21.28,32.7250416,1
23.10815954,19.0791,22.51,-6.3004,0.239268034,0.335688503,34.11764706,5.455098939,0.938410122,0.910931174,0.910931174,1.387874486,16.52,28.06541693,1
0.304754283,9.8369,6.33,-43.2994,0.062265083,-0.167741126,25.66964286,4.125900171,0.029727794,0.644694534,0.438906752,1.237065962,16.56,31.87845805,1
30.89174404,15.1681,51.17,-28.3478,0.319316212,0.33202708,45.70987654,9.388343447,0.132535122,0.680628272,0.490401396,1.831281723,22.74,38.46589831,1
83.05043389,-14.491,223.3,-44.5496,0.721022636,2.43692402,11.80630631,2.832802424,-0.139311962,0.646481178,0,2.015206263,26.5,34.85739945,0
